Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Price,Variant Inventory Qty,SEO Title,SEO Description
m-sea,,,,,,,Size,10 L,m-sea-10l,4642,100,,
m-sea,,,,,,,Size,25 L,m-sea-25l,10303,100,,
m-ortho,M ORTHO,"<p>M ORTHO delivers stabilized orthosilicic acid (0.5% w/w) to strengthen cell walls, improve plant structure, and enhance tolerance to abiotic stress in all commercial crops. It promotes healthier, greener growth and improves yield, size, and crop quality through better silicon nutrition. Suitable for foliar spray and drip irrigation; compatible with most fertilizers and pesticides after jar testing. Morbeez M ORTHO supports crop vigor, improves nutrient uptake, and is ideal for plantation, vegetable, and fruit programs requiring lodging and stress resilience.</p><ul><li>strengthens cell walls</li><li>improves plant structure</li><li>enhances stress tolerance</li><li>promotes vigorous growth</li><li>improves yield and quality</li><li>stabilized orthosilicic acid</li><li>drip and foliar suitable</li><li>Make in India quality input</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> foliar spray, drip irrigation, fertigation</p><p><strong>Dosage (200 L):</strong> 200–300 ml per 200 L water (foliar at 1.0–1.5 ml/L); drip 1–2 L/acre</p>",Morbeez,Specialty Products,"M ORTHO, orthosilicic acid, silicon fertilizer, stress tolerance, cell wall strength, specialty agriculture, Morbeez",TRUE,Size,500 ml,m-ortho-500ml,336,100,M ORTHO,"M ORTHO delivers stabilized orthosilicic acid (0.5% w/w) to strengthen cell walls, improve plant structure, and enhance tolerance to abiotic stress in all commercial crops. It promotes healthier, greener growth and improves yield, size, and crop quality through better silicon nutrition. Suitable for foliar spray and dr"
m-ortho,,,,,,,Size,1 L,m-ortho-1l,579,100,,
m-ortho,,,,,,,Size,5 L,m-ortho-5l,2403,100,,
m-ortho,,,,,,,Size,10 L,m-ortho-10l,4487,100,,
m-ortho,,,,,,,Size,25 L,m-ortho-25l,9959,100,,
m-npk,M NPK+,"<p>M NPK+ is a multi-strain microbial consortium that mobilizes nitrogen, phosphorus, and potassium in soil, improving fertilizer use efficiency and soil fertility. It enhances nutrient availability, promotes healthy root activity, balances soil microbiology, and supports sustainable productivity in intensive farming. Apply via soil application or drip; compatible with organic inputs. Avoid strong chemical bactericides. Morbeez M NPK+ helps improve soil health, supports crop vigor, and increases yield in ginger, banana, pepper, vegetables, and plantation systems.</p><ul><li>mobilizes N P K nutrients</li><li>improves fertilizer efficiency</li><li>promotes root activity</li><li>enhances soil microbial balance</li><li>reduces nutrient losses</li><li>supports sustainable yields</li><li>suitable for continuous cropping</li><li>compatible with organic programs</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> soil application, drip irrigation, fertigation, seed treatment</p><p><strong>Dosage (200 L):</strong> 2–4 kg/acre soil; 1–2 kg/acre drip (powder product)</p>",Morbeez,Bio Fertilizers,"M NPK+, NPK microbial consortia, bio fertilizer, nutrient mobilization, soil health, Morbeez, fertigation",TRUE,Size,500 g,m-npk-500g,229,100,M NPK+,"M NPK+ is a multi-strain microbial consortium that mobilizes nitrogen, phosphorus, and potassium in soil, improving fertilizer use efficiency and soil fertility. It enhances nutrient availability, promotes healthy root activity, balances soil microbiology, and supports sustainable productivity in intensive farming. App"
m-npk,,,,,,,Size,1 kg,m-npk-1kg,395,100,,
m-npk,,,,,,,Size,5 kg,m-npk-5kg,1640,100,,
m-npk,,,,,,,Size,10 kg,m-npk-10kg,3062,100,,
m-npk,,,,,,,Size,25 kg,m-npk-25kg,6796,100,,
m-vam,M VAM,"<p>M VAM contains beneficial VAM fungi that form symbiotic associations with roots, expanding root surface area and improving uptake of P, K, Zn, Fe, and micronutrients. It enhances plant vigor, drought and salinity tolerance, soil structure, and yield quality in ginger, spices, fruits, and plantation crops. Apply through soil, drip, or foliar routes; compatible with biofertilizers. Morbeez M VAM improves root growth, supports soil health, and is a trusted mycorrhizal biofertilizer for organic and integrated programs.</p><ul><li>expands root surface area</li><li>improves P K Zn Fe uptake</li><li>enhances plant vigor</li><li>drought and salinity tolerance</li><li>improves soil structure</li><li>symbiotic root partner</li><li>increases yield quality</li><li>100% natural eco-friendly</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> soil application, drip irrigation, foliar spray, nursery application</p><p><strong>Dosage (200 L):</strong> 400–600 ml per 200 L water (foliar at 2–3 ml/L); drip 1–2 L/acre</p>",Morbeez,Bio Fertilizers,"M VAM, vesicular arbuscular mycorrhiza, bio fertilizer, root growth, nutrient uptake, Morbeez, VAM liquid",TRUE,Size,500 ml,m-vam-500ml,330,100,M VAM,"M VAM contains beneficial VAM fungi that form symbiotic associations with roots, expanding root surface area and improving uptake of P, K, Zn, Fe, and micronutrients. It enhances plant vigor, drought and salinity tolerance, soil structure, and yield quality in ginger, spices, fruits, and plantation crops. Apply through"
m-vam,,,,,,,Size,1 L,m-vam-1l,569,100,,
m-vam,,,,,,,Size,5 L,m-vam-5l,2361,100,,
m-vam,,,,,,,Size,10 L,m-vam-10l,4410,100,,
m-vam,,,,,,,Size,25 L,m-vam-25l,9787,100,,
m-calsol,M CALSOL,"<p>M CALSOL is a calcium mobilizing liquid that improves calcium uptake and translocation, strengthens cell walls, and prevents disorders such as blossom end rot in fruits and vegetables. It improves fruit firmness, size, shelf life, and root development while supporting stress tolerance. Suitable for drip and foliar application in tomato, chilli, banana, citrus, and plantation crops. Morbeez M CALSOL enhances flowering, increases yield, and integrates with balanced nutrition and bio programs when compatibility is verified.</p><ul><li>prevents calcium deficiency</li><li>strengthens cell walls</li><li>improves fruit firmness</li><li>enhances root growth</li><li>reduces physiological disorders</li><li>fast-acting soluble calcium</li><li>stress tolerance support</li><li>drip and foliar suitable</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> foliar spray, drip irrigation, soil application, fertigation</p><p><strong>Dosage (200 L):</strong> 400–600 ml per 200 L water (foliar at 2–3 ml/L); drip 1–2 L/acre</p>",Morbeez,Micronutrients,"M CALSOL, calcium fertilizer, blossom end rot, fruit quality, calcium mobilizing, micronutrient, Morbeez",TRUE,Size,500 ml,m-calsol-500ml,313,100,M CALSOL,"M CALSOL is a calcium mobilizing liquid that improves calcium uptake and translocation, strengthens cell walls, and prevents disorders such as blossom end rot in fruits and vegetables. It improves fruit firmness, size, shelf life, and root development while supporting stress tolerance. Suitable for drip and foliar appl"
m-calsol,,,,,,,Size,1 L,m-calsol-1l,539,100,,
m-calsol,,,,,,,Size,5 L,m-calsol-5l,2237,100,,
m-calsol,,,,,,,Size,10 L,m-calsol-10l,4177,100,,
m-calsol,,,,,,,Size,25 L,m-calsol-25l,9271,100,,
m-z-zol,M Z-ZOL,"<p>M Z-ZOL corrects zinc deficiency, prevents chlorosis, and improves enzyme activity, photosynthesis, and leaf greenness in paddy, maize, citrus, chilli, and horticulture crops. It supports healthy root and shoot development, yield quality, and stress recovery with quick absorption. Use as foliar spray, drip, or soil application; compatible with biofertilizers. Morbeez M Z-ZOL improves nutrient uptake, enhances flowering, and helps increase yield in zinc-deficient Indian soils.</p><ul><li>corrects zinc deficiency</li><li>prevents chlorosis</li><li>enhances photosynthesis</li><li>improves enzyme activity</li><li>supports root shoot growth</li><li>quick absorption formula</li><li>stress performance</li><li>all crops and soils</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> foliar spray, drip irrigation, soil application</p><p><strong>Dosage (200 L):</strong> 400–600 ml per 200 L water (foliar at 2–3 ml/L); drip 1–2 L/acre</p>",Morbeez,Micronutrients,"M Z-ZOL, zinc mobilizing, zinc fertilizer, chlorosis correction, micronutrient, Morbeez, foliar zinc",TRUE,Size,500 ml,m-z-zol-500ml,307,100,M Z-ZOL,"M Z-ZOL corrects zinc deficiency, prevents chlorosis, and improves enzyme activity, photosynthesis, and leaf greenness in paddy, maize, citrus, chilli, and horticulture crops. It supports healthy root and shoot development, yield quality, and stress recovery with quick absorption. Use as foliar spray, drip, or soil app"
m-z-zol,,,,,,,Size,1 L,m-z-zol-1l,529,100,,
m-z-zol,,,,,,,Size,5 L,m-z-zol-5l,2195,100,,
m-z-zol,,,,,,,Size,10 L,m-z-zol-10l,4100,100,,
m-z-zol,,,,,,,Size,25 L,m-z-zol-25l,9099,100,,
m-subtil,M SUBTIL,"<p>M SUBTIL is a broad-spectrum biological fungicide based on Bacillus subtilis that controls fungal diseases naturally, induces systemic resistance, and promotes healthy crop growth. It improves root development, nutrient uptake, soil microbial balance, and yield quality while remaining safe for beneficial organisms. Suitable for foliar spray, drip, and soil application in vegetables, spices, fruits, and plantation crops. Morbeez M SUBTIL supports IPM programs, controls fungal diseases biologically, and improves soil health without harmful residues.</p><ul><li>controls fungal diseases naturally</li><li>induces systemic resistance</li><li>promotes healthy growth</li><li>improves root development</li><li>enhances soil microbial balance</li><li>long shelf-life spore former</li><li>safe for environment</li><li>effective under field stress</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> foliar spray, drip irrigation, soil application, drenching</p><p><strong>Dosage (200 L):</strong> 400–600 ml per 200 L water (foliar at 2–3 ml/L); drip 1–2 L/acre</p>",Morbeez,Bio Pesticides,"M SUBTIL, Bacillus subtilis, biological fungicide, fungal disease control, bio pesticide, Morbeez, IPM",TRUE,Size,500 ml,m-subtil-500ml,359,100,M SUBTIL,"M SUBTIL is a broad-spectrum biological fungicide based on Bacillus subtilis that controls fungal diseases naturally, induces systemic resistance, and promotes healthy crop growth. It improves root development, nutrient uptake, soil microbial balance, and yield quality while remaining safe for beneficial organisms. Sui"
m-subtil,,,,,,,Size,1 L,m-subtil-1l,619,100,,
m-subtil,,,,,,,Size,5 L,m-subtil-5l,2569,100,,
m-subtil,,,,,,,Size,10 L,m-subtil-10l,4797,100,,
m-subtil,,,,,,,Size,25 L,m-subtil-25l,10647,100,,
m-k-mob,M K-MOB,"<p>M K-MOB mobilizes bound potassium in soil, improving K uptake, fruit size, weight, shelf life, and flowering in banana, chilli, tomato, grapes, and plantation crops. It strengthens plants against drought and heat stress and improves water use efficiency with better root systems. Suitable for drip and foliar application; compatible with bio inputs. Morbeez M K-MOB improves nutrient uptake, enhances flowering, and helps increase yield in potassium-limited field conditions.</p><ul><li>mobilizes soil potassium</li><li>improves fruit size and weight</li><li>enhances shelf life</li><li>supports flowering fruiting</li><li>drought heat stress tolerance</li><li>better water use efficiency</li><li>stronger root system</li><li>all crops and soils</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> foliar spray, drip irrigation, soil application, fertigation</p><p><strong>Dosage (200 L):</strong> 400–600 ml per 200 L water (foliar at 2–3 ml/L); drip 1–2 L/acre</p>",Morbeez,Bio Fertilizers,"M K-MOB, potassium mobilizing, KMB, bio fertilizer, fruit quality, yield booster, Morbeez",TRUE,Size,500 ml,m-k-mob-500ml,318,100,M K-MOB,"M K-MOB mobilizes bound potassium in soil, improving K uptake, fruit size, weight, shelf life, and flowering in banana, chilli, tomato, grapes, and plantation crops. It strengthens plants against drought and heat stress and improves water use efficiency with better root systems. Suitable for drip and foliar application"
m-k-mob,,,,,,,Size,1 L,m-k-mob-1l,549,100,,
m-k-mob,,,,,,,Size,5 L,m-k-mob-5l,2278,100,,
m-k-mob,,,,,,,Size,10 L,m-k-mob-10l,4255,100,,
m-k-mob,,,,,,,Size,25 L,m-k-mob-25l,9443,100,,
m-pseudo,M PSEUDO,"<p>M PSEUDO contains beneficial Pseudomonas fluorescens for root zone protection, pathogen suppression, and vigorous crop establishment. It colonizes roots aggressively, improves nutrient mobilization, enhances stress tolerance, and supports drip irrigation systems. Apply via soil, drip, or seed treatment in ginger, vegetables, spices, and plantation crops. Morbeez M PSEUDO improves soil health, protects roots from harmful pathogens, and is ideal for integrated disease management without harsh chemical residues.</p><ul><li>protects root zone</li><li>suppresses harmful pathogens</li><li>aggressive rhizosphere colonization</li><li>improves nutrient mobilization</li><li>enhances stress tolerance</li><li>drip system compatible</li><li>rapid root recovery support</li><li>organic program friendly</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> soil application, drip irrigation, seed treatment, drenching</p><p><strong>Dosage (200 L):</strong> 2–4 kg/acre soil; seed treat 5–10 g/kg; foliar 2–3 g/L where applicable</p>",Morbeez,Bio Pesticides,"M PSEUDO, Pseudomonas fluorescens, root defence, bio pesticide, soil health, Morbeez, seed treatment",TRUE,Size,500 g,m-pseudo-500g,244,100,M PSEUDO,"M PSEUDO contains beneficial Pseudomonas fluorescens for root zone protection, pathogen suppression, and vigorous crop establishment. It colonizes roots aggressively, improves nutrient mobilization, enhances stress tolerance, and supports drip irrigation systems. Apply via soil, drip, or seed treatment in ginger, veget"
m-pseudo,,,,,,,Size,1 kg,m-pseudo-1kg,422,100,,
m-pseudo,,,,,,,Size,5 kg,m-pseudo-5kg,1749,100,,
m-pseudo,,,,,,,Size,10 kg,m-pseudo-10kg,3267,100,,
m-pseudo,,,,,,,Size,25 kg,m-pseudo-25kg,7250,100,,
m-tricho,M TRICHO,"<p>M TRICHO is an advanced Trichoderma harzianum bio fungicide that protects roots from soil-borne pathogens, enhances root mass, and improves soil microbial activity for vigorous crop establishment. High spore viability ensures fast rhizosphere colonization and long shelf stability. Use in soil, drip, or seed/rhizome treatment programs for ginger, banana, pepper, and vegetables. Morbeez M TRICHO controls fungal diseases in the root zone, improves nutrient uptake, and supports intensive farming systems.</p><ul><li>protects roots from soil pathogens</li><li>enhances root mass</li><li>improves soil microbial balance</li><li>fast rhizosphere colonization</li><li>high spore viability</li><li>intensive farming suitable</li><li>compatible with biofertilizers</li><li>yield and quality support</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> soil application, drip irrigation, seed treatment, rhizome treatment</p><p><strong>Dosage (200 L):</strong> 2–4 kg/acre soil; seed/rhizome 5–10 g/kg</p>",Morbeez,Bio Pesticides,"M TRICHO, Trichoderma harzianum, bio fungicide, root shield, soil borne disease, Morbeez, seed treatment",TRUE,Size,500 g,m-tricho-500g,239,100,M TRICHO,"M TRICHO is an advanced Trichoderma harzianum bio fungicide that protects roots from soil-borne pathogens, enhances root mass, and improves soil microbial activity for vigorous crop establishment. High spore viability ensures fast rhizosphere colonization and long shelf stability. Use in soil, drip, or seed/rhizome tre"
m-tricho,,,,,,,Size,1 kg,m-tricho-1kg,413,100,,
m-tricho,,,,,,,Size,5 kg,m-tricho-5kg,1713,100,,
m-tricho,,,,,,,Size,10 kg,m-tricho-10kg,3199,100,,
m-tricho,,,,,,,Size,25 kg,m-tricho-25kg,7099,100,,
rhizomax-azospirillum,RhizoMax Azospirillum,"<p>RhizoMax Azospirillum is a professionally formulated Azospirillum brasilense agriculture input designed for Indian field, vegetable, and plantation production systems. This bio fertilizers supports azospirillum action for nutrient mobilization and root health while helping improve root growth, enhance flowering, and increase yield under heat. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Farmers use RhizoMax Azospirillum in fertigation and spray schedules to improve soil health, strengthen plant resilience, and achieve more uniform harvest quality. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.</p><ul><li>improves root growth</li><li>enhances nutrient uptake</li><li>improves soil health</li><li>supports microbial balance</li><li>increases yield potential</li><li>drip and soil compatible</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> soil application, drip irrigation, fertigation, nursery application, seed treatment</p><p><strong>Dosage (200 L):</strong> 400–600 ml per 200 L water (2–3 ml/L foliar); drip 1–2 L/acre</p>",Morbeez,Bio Fertilizers,"bio fertilizer, Azospirillum, Azospirillum brasilense, Morbeez, soil health, yield booster, organic agriculture",TRUE,Size,500 ml,rhizomax-azospirillum-500ml,289,100,RhizoMax Azospirillum,"RhizoMax Azospirillum is a professionally formulated Azospirillum brasilense agriculture input designed for Indian field, vegetable, and plantation production systems. This bio fertilizers supports azospirillum action for nutrient mobilization and root health while helping improve root growth, enhance flowering, and in"
rhizomax-azospirillum,,,,,,,Size,1 L,rhizomax-azospirillum-1l,498,100,,
rhizomax-azospirillum,,,,,,,Size,5 L,rhizomax-azospirillum-5l,2067,100,,
rhizomax-azospirillum,,,,,,,Size,10 L,rhizomax-azospirillum-10l,3860,100,,
rhizomax-azospirillum,,,,,,,Size,25 L,rhizomax-azospirillum-25l,8566,100,,
nitrofix-azotobacter,NitroFix Azotobacter,"<p>NitroFix Azotobacter is a professionally formulated Azotobacter chroococcum agriculture input designed for Indian field, vegetable, and plantation production systems. This bio fertilizers supports azotobacter action for nutrient mobilization and root health while helping improve root growth, enhance flowering, and increase yield under salinity. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Compatible with responsible IPM and balanced nutrition plans; perform a jar test before mixing with strong chemical inputs. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.</p><ul><li>improves root growth</li><li>enhances nutrient uptake</li><li>improves soil health</li><li>supports microbial balance</li><li>increases yield potential</li><li>drip and soil compatible</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> soil application, drip irrigation, fertigation, nursery application, seed treatment</p><p><strong>Dosage (200 L):</strong> 400–600 ml per 200 L water (2–3 ml/L foliar); drip 1–2 L/acre</p>",Morbeez,Bio Fertilizers,"bio fertilizer, Azotobacter, Azotobacter chroococcum, Morbeez, soil health, yield booster, organic agriculture",TRUE,Size,500 ml,nitrofix-azotobacter-500ml,283,100,NitroFix Azotobacter,"NitroFix Azotobacter is a professionally formulated Azotobacter chroococcum agriculture input designed for Indian field, vegetable, and plantation production systems. This bio fertilizers supports azotobacter action for nutrient mobilization and root health while helping improve root growth, enhance flowering, and incr"
nitrofix-azotobacter,,,,,,,Size,1 L,nitrofix-azotobacter-1l,488,100,,
nitrofix-azotobacter,,,,,,,Size,5 L,nitrofix-azotobacter-5l,2025,100,,
nitrofix-azotobacter,,,,,,,Size,10 L,nitrofix-azotobacter-10l,3782,100,,
nitrofix-azotobacter,,,,,,,Size,25 L,nitrofix-azotobacter-25l,8394,100,,
legumerhizo-plus,LegumeRhizo Plus,"<p>LegumeRhizo Plus is a professionally formulated Rhizobium leguminosarum agriculture input designed for Indian field, vegetable, and plantation production systems. This bio fertilizers supports rhizobium action for nutrient mobilization and root health while helping improve root growth, enhance flowering, and increase yield under waterlogging recovery. Suitable for drip and foliar application, it improves nutrient uptake, supports crop vigor, and integrates with biofertilizer programs when tank-mix compatibility is confirmed. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks. Ideal for Morbeez advisory-led programs across Kerala and South India high-value spice and plantation blocks.</p><ul><li>improves root growth</li><li>enhances nutrient uptake</li><li>improves soil health</li><li>supports microbial balance</li><li>increases yield potential</li><li>drip and soil compatible</li></ul><p><strong>Suitable crops:</strong> ginger, banana, pepper, cardamom, vegetables, paddy, fruits, plantation crops, spices, horticulture crops, coconut, turmeric, chilli, tomato</p><p><strong>Application:</strong> soil application, drip irrigation, fertigation, nursery application, seed treatment</p><p><strong>Dosage (200 L):</strong> 400–600 ml per 200 L water (2–3 ml/L foliar); drip 1–2 L/acre</p>",Morbeez,Bio Fertilizers,"bio fertilizer, Rhizobium, Rhizobium leguminosarum, Morbeez, soil health, yield booster, organic agriculture",TRUE,Size,500 ml,legumerhizo-plus-500ml,271,100,LegumeRhizo Plus,"LegumeRhizo Plus is a professionally formulated Rhizobium leguminosarum agriculture input designed for Indian field, vegetable, and plantation production systems. This bio fertilizers supports rhizobium action for nutrient mobilization and root health while helping improve root growth, enhance flowering, and increase y"
legumerhizo-plus,,,,,,,Size,1 L,legumerhizo-plus-1l,468,100,,
legumerhizo-plus,,,,,,,Size,5 L,legumerhizo-plus-5l,1942,100,,
legumerhizo-plus,,,,,,,Size,10 L,legumerhizo-plus-10l,3627,100,,
legumerhizo-plus,,,,,,,Size,25 L,legumerhizo-plus-25l,8050,100,,
